"Daily Mean data	    supplied by UK-air on 05/01/2026",,,,,,,,,,,,,,,,,,,,,,,,,,
All Data GMT hour ending,,,,,,,,,,,,,,,,,,,,,,,,,,
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect,,,,,,,,,,,,,,,,,,,,,,,,,,
Site name,Camden Kerbside,,Haringey Roadside,,London Bexley,,London Bloomsbury,,London Eltham,,London Haringey Priory Park South,,London Harlington,,London Hillingdon,,London Marylebone Road,,London N. Kensington,,London Westminster,,Southwark A2 Old Kent Road,,Tower Hamlets Roadside,
Latitude,51.544233,,51.5993,,51.46603,,51.52229,,51.45258,,51.584128,,51.48879,,51.49633,,51.52253,,51.52105,,51.49467,,51.480499,,51.52253,
Longitude,-0.175228,,-0.068218,,0.184806,,-0.125889,,0.070766,,-0.125254,,-0.441614,,-0.460861,,-0.154611,,-0.213419,,-0.131931,,-0.05955,,-0.042155,
Site Type,Urban Traffic,,Urban Traffic,,Suburban Background,,Urban Background,,Suburban Background,,Urban Background,,Urban Industrial,,Urban Background,,Urban Traffic,,Urban Background,,Urban Background,,Urban Traffic,,Urban Traffic,
Zone,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,
Agglomeration,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,
Local Authority,Camden,,Haringey,,Bexley,,Camden,,Greenwich,,Haringey,,Hillingdon,,Hillingdon,,Westminster,,Kensington,,Westminster,,Southwark,,Tower Hamlets,
Date,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status,Nitrogen dioxide,Status
2019/1/1,33,V ugm-3,19,V ugm-3,14,V ugm-3,37,V ugm-3,12,V ugm-3,11,V ugm-3,17,V ugm-3,No data,V ugm-3,41,V ugm-3,21,V ugm-3,33,V ugm-3,31,V ugm-3,47,V ugm-3
2019/1/2,67,V ugm-3,33,V ugm-3,22,V ugm-3,43,V ugm-3,20,V ugm-3,18,V ugm-3,33,V ugm-3,No data,V ugm-3,43,V ugm-3,32,V ugm-3,38,V ugm-3,62,V ugm-3,64,V ugm-3
2019/1/3,73,V ugm-3,45,V ugm-3,38,V ugm-3,44,V ugm-3,28,V ugm-3,27,V ugm-3,36,V ugm-3,31,V ugm-3,51,V ugm-3,34,V ugm-3,39,V ugm-3,75,V ugm-3,76,V ugm-3
2019/1/4,60,V ugm-3,43,V ugm-3,49,V ugm-3,50,V ugm-3,42,V ugm-3,34,V ugm-3,50,V ugm-3,45,V ugm-3,55,V ugm-3,42,V ugm-3,50,V ugm-3,72,V ugm-3,72,V ugm-3
