Daily Mean data	    supplied by UK-air on 06/01/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,"Camden Kerbside",,"Haringey Roadside",,"London Bexley",,"London Bloomsbury",,"London Eltham",,"London Haringey Priory Park South",,"London Harlington",,"London Hillingdon",,"London Marylebone Road",,"London N. Kensington",,"London Teddington",,"London Westminster",,"Southwark A2 Old Kent Road",,"Tower Hamlets Roadside",
Latitude,51.544233,,51.599300,,51.466030,,51.522290,,51.452580,,51.584128,,51.488790,,51.496330,,51.522530,,51.521050,,51.420990,,51.494670,,51.480499,,51.522530,,
Longitude,-0.175228,,-0.068218,,0.184806,,-0.125889,,0.070766,,-0.125254,,-0.441614,,-0.460861,,-0.154611,,-0.213419,,-0.339647,,-0.131931,,-0.059550,,-0.042155,,
Site Type,Urban Traffic,,Urban Traffic,,Suburban Background,,Urban Background,,Suburban Background,,Urban Background,,Urban Industrial,,Urban Background,,Urban Traffic,,Urban Background,,Urban Background,,Urban Background,,Urban Traffic,,Urban Traffic,,
Zone,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,
Agglomeration,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,
Local Authority,"Camden",,"Haringey",,"Bexley",,"Camden",,"Greenwich",,"Haringey",,"Hillingdon",,"Hillingdon",,"Westminster",,"Kensington",,"Richmond",,"Westminster",,"Southwark",,"Tower Hamlets",,
Date,"Nitrogen dioxide",Status,"Nitrogen dioxide",Status,"Nitrogen dioxide",Status,"Nitrogen dioxide",Status,"Nitrogen dioxide",Status,"Nitrogen dioxide",Status,"Nitrogen dioxide",Status,"Nitrogen dioxide",Status,"Nitrogen dioxide",Status,"Nitrogen dioxide",Status,"Nitrogen dioxide",Status,"Nitrogen dioxide",Status,"Nitrogen dioxide",Status,"Nitrogen dioxide",Status
2014-01-01,30,V ugm-3,33,V ugm-3,5,V ugm-3,23,V ugm-3,4,V ugm-3,17,V ugm-3,20,V ugm-3,42,V ugm-3,75,V ugm-3,12,V ugm-3,4,V ugm-3,16,V ugm-3,6,V ugm-3,14,V ugm-3
2014-01-02,47,V ugm-3,47,V ugm-3,16,V ugm-3,39,V ugm-3,12,V ugm-3,25,V ugm-3,33,V ugm-3,68,V ugm-3,No data,V ugm-3,25,V ugm-3,9,V ugm-3,28,V ugm-3,13,V ugm-3,32,V ugm-3
2014-01-03,38,V ugm-3,37,V ugm-3,12,V ugm-3,32,V ugm-3,8,V ugm-3,14,V ugm-3,25,V ugm-3,53,V ugm-3,88,V ugm-3,17,V ugm-3,6,V ugm-3,20,V ugm-3,10,V ugm-3,24,V ugm-3
