"Daily Mean data	    supplied by UK-air on 05/01/2026",,,,,,,,,,,,,,,,,,,,,,
All Data GMT hour ending,,,,,,,,,,,,,,,,,,,,,,
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect,,,,,,,,,,,,,,,,,,,,,,
,Camden Kerbside,,London Bexley,,London Bloomsbury,,London Eltham,,London Harlington,,London Hillingdon,,London Honor Oak Park,,London Marylebone Road,,London N. Kensington,,London Teddington Bushy Park,,London Westminster,
Latitude,51.544233,,51.46603,,51.52229,,51.45258,,51.48879,,51.49633,,51.449674,,51.52253,,51.52105,,51.425286,,51.49467,
Longitude,-0.175228,,0.184806,,-0.125889,,0.070766,,-0.441614,,-0.460861,,-0.037418,,-0.154611,,-0.213419,,-0.345606,,-0.131931,
Site Type,Urban Traffic,,Suburban Background,,Urban Background,,Suburban Background,,Urban Industrial,,Urban Background,,Urban Background,,Urban Traffic,,Urban Background,,Urban Background,,Urban Background,
Zone,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,,Greater London,
Agglomeration,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,,Greater London Urban Area,
Local Authority,Camden,,Bexley,,Camden,,Greenwich,,Hillingdon,,Hillingdon,,Lewisham,,Westminster,,Kensington,,Richmond,,Westminster,
Date,PM2.5 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status
2019/1/1,7,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),,,6,V ugm-3 (Ref.eq),10,V ugm-3 (TEOM FDMS),6,V ugm-3 (Ref.eq),8,V ugm-3 (TEOM FDMS),9,V ugm-3 (BAM)
2019/1/2,9,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),,,8,V ugm-3 (Ref.eq),8,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),8,V ugm-3 (TEOM FDMS),9,V ugm-3 (BAM)
2019/1/3,11,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),8,V ugm-3 (Ref.eq),,,9,V ugm-3 (Ref.eq),11,V ugm-3 (TEOM FDMS),8,V ugm-3 (Ref.eq),10,V ugm-3 (TEOM FDMS),9,V ugm-3 (BAM)
2019/1/4,25,V ugm-3 (TEOM FDMS),24,V ugm-3 (TEOM FDMS),22,V ugm-3 (TEOM FDMS),22,V ugm-3 (TEOM FDMS),24,V ugm-3 (Ref.eq),,,23,V ugm-3 (Ref.eq),26,V ugm-3 (TEOM FDMS),21,V ugm-3 (Ref.eq),26,V ugm-3 (TEOM FDMS),23,V ugm-3 (BAM)
2019/1/5,22,V ugm-3 (TEOM FDMS),18,V ugm-3 (TEOM FDMS),19,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),21,V ugm-3 (Ref.eq),,,20,V ugm-3 (Ref.eq),24,V ugm-3 (TEOM FDMS),21,V ugm-3 (Ref.eq),21,V ugm-3 (TEOM FDMS),21,V ugm-3 (BAM)
2019/1/6,18,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),15,V ugm-3 (Ref.eq),,,17,V ugm-3 (Ref.eq),20,V ugm-3 (TEOM FDMS),15,V ugm-3 (Ref.eq),16,V ugm-3 (TEOM FDMS),17,V ugm-3 (BAM)
2019/1/7,9,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),9,V ugm-3 (Ref.eq),,,10,V ugm-3 (Ref.eq),15,V ugm-3 (TEOM FDMS),8,V ugm-3 (Ref.eq),11,V ugm-3 (TEOM FDMS),11,V ugm-3 (BAM)
2019/1/8,10,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),9,V ugm-3 (Ref.eq),,,8,V ugm-3 (Ref.eq),9,V ugm-3 (TEOM FDMS),8,V ugm-3 (Ref.eq),10,V ugm-3 (TEOM FDMS),11,V ugm-3 (BAM)
2019/1/9,9,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),,,8,V ugm-3 (Ref.eq),9,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),9,V ugm-3 (TEOM FDMS),10,V ugm-3 (BAM)
2019/1/10,24,V ugm-3 (TEOM FDMS),25,V ugm-3 (TEOM FDMS),22,V ugm-3 (TEOM FDMS),25,V ugm-3 (TEOM FDMS),23,V ugm-3 (Ref.eq),,,24,V ugm-3 (Ref.eq),28,V ugm-3 (TEOM FDMS),21,V ugm-3 (Ref.eq),24,V ugm-3 (TEOM FDMS),24,V ugm-3 (BAM)
2019/1/11,17,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),15,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),15,V ugm-3 (Ref.eq),,,15,V ugm-3 (Ref.eq),18,V ugm-3 (TEOM FDMS),13,V ugm-3 (Ref.eq),18,V ugm-3 (TEOM FDMS),15,V ugm-3 (BAM)
2019/1/12,5,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),,,5,V ugm-3 (Ref.eq),11,V ugm-3 (TEOM FDMS),5,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),8,V ugm-3 (BAM)
2019/1/13,3,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),,,4,V ugm-3 (Ref.eq),8,V ugm-3 (TEOM FDMS),4,V ugm-3 (Ref.eq),6,V ugm-3 (TEOM FDMS),7,V ugm-3 (BAM)
2019/1/14,7,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),,,7,V ugm-3 (Ref.eq),10,V ugm-3 (TEOM FDMS),7,V ugm-3 (Ref.eq),8,V ugm-3 (TEOM FDMS),10,V ugm-3 (BAM)
