station_norm,n_samples,n_surface_types,top_surface,material_mode,reads_median,reads_p90,lat,lon
embankment,7,4,bench;platform,metal,2841246.0,5607871.600000001,51.50731012,-0.122340604
oxford circus,7,4,bench;platform,metal,1869014.0,8584002.0,51.51519833,-0.141753096
edgeware road,6,3,ticket_hall;ticket_machine,glass,2994530.0,3991204.0,51.520122095000005,-0.168875824
elephant and castle,5,3,handrail,metal,4455327.0,10090934.0,51.49584772,-0.100711857
tottenham court road,5,3,handrail,metal,4076267.0,4294371.0,51.51627608,-0.13085605
notting hill gate,5,4,bench;platform,metal,3218946.0,3704990.4,51.50913507,-0.196517879
mile end,5,4,bench;platform,metal,2664981.0,3559298.6,51.52516227,-0.033400538
charing cross,5,3,handrail,metal,2498439.0,5994471.6,51.50866134,-0.124733426
hammersmith,5,3,ticket_hall;ticket_machine,glass,2208436.0,3463965.6,51.49357272,-0.224892685
euston,5,3,escalator_handrail,rubber,1931646.0,2642882.4,51.52866595,-0.133265016
kings cross st pancras,5,4,bench;platform,metal,1925012.0,3811395.8000000003,51.53046702,-0.123838556
baker street,5,3,handrail,metal,1802041.0,6135824.600000001,51.52313116,-0.156881847
bank,5,4,escalator_handrail,rubber,1759322.0,3592105.2,51.5133735,-0.088906725
warren street,5,4,bench;platform,wood,1363998.0,11720790.000000002,51.52458249,-0.138254185
liverpool street,5,4,bench;platform,metal,1332616.0,3196887.2,51.51742113,-0.082958757
moorgate,5,3,handrail,metal,1132928.0,1912380.6,51.51843415,-0.088988842
victoria,5,4,bench;platform,metal,990309.0,9211766.200000001,51.49641574,-0.143828518
stockwell,5,4,bench;platform,wood,799983.0,1610910.4000000001,51.47224114,-0.122895213
waterloo,5,3,escalator_handrail,rubber,679396.0,14449049.8,51.50357644,-0.114051784
harlesden,3,3,ticket_hall;ticket_machine,metal,17746156.0,19819517.6,51.53625519,-0.257476566
west acton,3,3,handrail,metal,7045609.0,7944866.6,51.51792853,-0.280959813
woodford,3,3,handrail,metal,6593538.0,7445682.0,51.60709356,0.034027185
lambeth north,3,3,ticket_hall;ticket_machine,metal,6359518.0,8208127.6,51.49913109,-0.111745717
wembley central,3,3,ticket_hall;ticket_machine,glass,6308708.0,16738438.4,51.55239319,-0.296820887
willesden junction,3,3,ticket_hall;ticket_machine,glass,6301899.0,7198295.0,51.53225984,-0.244259053
queens park,3,3,ticket_hall;ticket_machine,metal,6276311.0,13373615.0,51.53416707,-0.204675391
snaresbrook,3,3,handrail,metal,6103582.0,6525890.0,51.58089355,0.021492179
chigwell,3,3,handrail,metal,5968956.0,7001604.0,51.61793168,0.074523461
perivale,3,3,bench;platform,wood,5839392.0,5892969.6,51.53665913,-0.323817282
chancery lane,3,3,escalator_handrail,rubber,5670845.0,6441293.0,51.51819437,-0.111660401
stonebridge park,3,3,ticket_hall;ticket_machine,glass,5334352.0,5681983.2,51.54398955,-0.275371113
hanger lane,3,3,bench;platform,wood,5235105.0,6237944.2,51.53007288,-0.292973103
barkingside,3,3,handrail,metal,5162251.0,9565664.6,51.58585544,0.088509189
aldgate east,3,3,ticket_hall;ticket_machine,glass,5155012.0,6364930.4,51.51530072,-0.072274025
warwick avenue,3,3,ticket_hall;ticket_machine,glass,5046126.0,8832783.6,51.52334544,-0.183649798
maida vale,3,3,ticket_hall;ticket_machine,glass,4968524.0,8145865.600000001,51.52982887,-0.185609035
kensal green,3,3,ticket_hall;ticket_machine,glass,4902251.0,8812569.4,51.5305265,-0.224683208
temple,3,3,ticket_hall;ticket_machine,wood,4899691.0,6379899.0,51.51104185,-0.113692896
leyton,3,3,handrail,wood,4823010.0,5291252.4,51.5565034,-0.00561874
paddington,3,3,ticket_hall;ticket_machine,glass,4709353.0,5501017.8,51.51537887,-0.175365294
regents park,3,3,ticket_hall;ticket_machine,metal,4456638.0,9731562.0,51.52357375,-0.146845189
upney,3,3,ticket_hall;ticket_machine,glass,4445892.0,5277919.2,51.53840422,0.101558788
fairlop,3,3,handrail,wood,4437681.0,12578453.8,51.59574781,0.090921024
richmond,3,3,ticket_hall;ticket_machine,metal,4340954.0,6167821.2,51.46323213,-0.301717924
south kensington,3,3,ticket_hall;ticket_machine,metal,4310776.0,4379116.8,51.49407225,-0.173903021
north acton,3,3,bench;platform,wood,4263876.0,4386871.2,51.52343605,-0.25970031
hainault,3,3,handrail,metal,4249662.0,5611971.6,51.60379254,0.093105998
holland park,3,3,bench;platform,metal,4217756.0,5079940.0,51.50740459,-0.205705089
bromey-by-bow,3,3,ticket_hall;ticket_machine,glass,4211041.0,5172941.0,51.52484277,-0.01165748
high st kensington,3,3,ticket_hall;ticket_machine,metal,4209339.0,4239759.0,51.50074572,-0.192480691
wimbledon,3,3,ticket_hall;ticket_machine,glass,4208320.0,6230069.6,51.42146487,-0.206353858
bond street,3,3,handrail,metal,4205634.0,4324596.4,51.51387906,-0.149315708
east ham,3,3,ticket_hall;ticket_machine,glass,4197994.0,5014262.0,51.5389967,0.051467145
east acton,3,3,bench;platform,wood,4081488.0,4655652.0,51.51664829,-0.247481639
westminster,3,3,ticket_hall;ticket_machine,glass,4068143.0,6517864.6,51.50115697,-0.124793827
tower hill,3,3,ticket_hall;ticket_machine,metal,4054134.0,4194502.0,51.5101391,-0.076335576
wimbledon park,3,3,ticket_hall;ticket_machine,glass,4047047.0,5370874.2,51.43453896,-0.199572031
barking,3,3,ticket_hall;ticket_machine,metal,4017737.0,4761338.6,51.53952056,0.080855743
marylebone,3,3,ticket_hall;ticket_machine,metal,4013109.0,5667658.6,51.52229675,-0.163080891
ealing broadway,3,3,handrail,metal,4002076.0,4307912.8,51.5149791,-0.301471777
harrow and wealdstone,3,3,ticket_hall;ticket_machine,glass,4001784.0,4745911.2,51.59226368,-0.335193509
plaistow,3,3,ticket_hall;ticket_machine,wood,3975593.0,5484715.4,51.53128621,0.017807961
upton park,3,3,ticket_hall;ticket_machine,glass,3964224.0,5850113.6,51.53530067,0.035269676
grange hill,3,3,handrail,metal,3871589.0,4688113.0,51.61340971,0.092132915
west kensington,3,3,ticket_hall;ticket_machine,glass,3866827.0,3944919.8,51.49056563,-0.206454516
putney bridge,3,3,ticket_hall;ticket_machine,glass,3866331.0,4770322.2,51.46797822,-0.208948328
southfields,3,3,ticket_hall;ticket_machine,glass,3851966.0,4094632.4,51.44500591,-0.206514155
stepney green,3,3,ticket_hall;ticket_machine,metal,3825571.0,5023387.0,51.52197932,-0.046455251
bayswater,3,3,ticket_hall;ticket_machine,metal,3819490.0,4344398.8,51.51229975,-0.188009447
gunnersbury,3,3,ticket_hall;ticket_machine,glass,3810737.0,5533009.8,51.49186736,-0.275147144
bow road,3,3,ticket_hall;ticket_machine,metal,3810182.0,4190764.4,51.5268669,-0.024809606
kew gardens,3,3,ticket_hall;ticket_machine,glass,3796518.0,5812510.8,51.47709778,-0.285212918
west brompton,3,3,ticket_hall;ticket_machine,wood,3772515.0,4093487.0,51.487287,0.195491
chiswick park,3,3,ticket_hall;ticket_machine,glass,3761811.0,3973702.2,51.4943711,-0.267715593
east putney,3,3,ticket_hall;ticket_machine,glass,3743739.0,4024423.8,51.45887883,-0.210975744
mansion house,3,3,ticket_hall;ticket_machine,metal,3695632.0,4705052.0,51.5120941,-0.094171678
earls court,3,3,ticket_hall;ticket_machine,glass,3693404.0,3783383.2,51.49187618,-0.193526047
turnham green,3,3,ticket_hall;ticket_machine,glass,3666695.0,4555582.2,51.49518509,-0.254500038
barons court,3,3,ticket_hall;ticket_machine,wood,3652402.0,3753458.0,51.49022739,-0.213576608
whitechapel,3,3,ticket_hall;ticket_machine,metal,3624117.0,3848927.4,51.51952926,-0.059968492
cannon street,3,3,ticket_hall;ticket_machine,glass,3616559.0,3622207.8,51.51150584,-0.090681195
queensway,3,3,handrail,metal,3589428.0,4271829.6,51.51045317,-0.187402539
monument,3,3,ticket_hall;ticket_machine,metal,3484626.0,3623945.2,51.51063449,-0.08616071
shepherds bush,3,3,bench;platform,metal,3450053.0,5145856.2,51.50452058,-0.218739321
parsons green,3,3,ticket_hall;ticket_machine,glass,3432051.0,4694115.0,51.47517266,-0.201208748
st jamess park,3,3,ticket_hall;ticket_machine,wood,3416243.0,4447702.2,51.49941708,-0.134167037
newbury park,3,3,-,-,3406911.0,11570890.200000001,51.57563951,0.090329654
fulham broadway,3,3,ticket_hall;ticket_machine,metal,3406621.0,3981041.0,51.48059868,-0.194937978
ravenscourt brook,3,3,ticket_hall;ticket_machine,glass,3370261.0,5061682.6,51.49421127,-0.236225664
south woodford,3,3,handrail,metal,3354422.0,5713568.4,51.59179344,0.027321779
gloucester road,3,3,ticket_hall;ticket_machine,glass,3291820.0,4021659.2,51.49431275,-0.182960687
farringdon,3,3,ticket_hall;ticket_machine,metal,3201249.0,5233255.4,51.52051764,-0.10505032
kilburn park,3,3,ticket_hall;ticket_machine,glass,3181517.0,11819998.600000001,51.53513992,-0.193943923
blackfriars,3,3,ticket_hall;ticket_machine,glass,3178303.0,4352361.4,51.51156251,-0.103596123
holborn,3,3,handrail,metal,3119655.0,4440480.6,51.5175063,-0.119995446
stamford brook,3,3,ticket_hall;ticket_machine,wood,3108527.0,3582327.8,51.49486533,-0.245421899
