uuid,city,station_name,latitude,longitude,surface_material,sample_type,num_reads,control_type
haib17CEM5080_H7VL7CCXY_SL267256,islington,morrisons,51.557193,-0.116609,plastic,environmental_microbiome,2525921.0,
haib17CEM5080_H7VL7CCXY_SL267254,islington,morrisons,51.557206,-0.116587,plastic,environmental_microbiome,3040831.0,
haib17CEM5080_H7VL7CCXY_SL267257,islington,town_hall,51.541648,-0.10249,metal,environmental_microbiome,1915744.0,
haib17CEM5080_H7VL7CCXY_SL267258,islington,freightliners_farm,51.547553,-0.111448,mixture_of_plastic_metal_and_wood,environmental_microbiome,1034200.0,
haib17CEM5080_H7VL7CCXY_SL267255,islington,trolley,51.557134,-0.116626,plastic,environmental_microbiome,3967336.0,
haib17CEM5080_H7VL7CCXY_SL267261,kensington,payphone_keypad,51.498787,-0.199217,metal,environmental_microbiome,1227426.0,
haib17CEM5080_H7VL7CCXY_SL267259,kensington,papaya_tree_thai,51.500002,-0.195392,metal,environmental_microbiome,4391807.0,
haib17CEM5080_H7VL7CCXY_SL267262,kensington,wholefoods,51.501627,-0.190734,plastic,environmental_microbiome,6379090.0,
haib17CEM5080_H7VL7CCXY_SL267260,kensington,pavement,51.500146,-0.194743,concrete,environmental_microbiome,2333665.0,
haib17CEM5080_H7VL7CCXY_SL267263,kensington,wholefoods,51.501687,-0.190509,plastic,environmental_microbiome,4249395.0,
haib17CEM5080_H7VL7CCXY_SL267264,kensington,wholefoods,51.501577,-0.190624,plastic,environmental_microbiome,4721094.0,
haib17CEM5106_HCCGHCCXY_SL270418,london,harrow and wealdstone,51.59226368,-0.335193509,glass,environmental_microbiome,4001784.0,
haib17CEM5106_HCCGHCCXY_SL270427,london,queen's park,51.53416707,-0.204675391,glass,environmental_microbiome,15147941.0,
haib17CEM5106_HCCGHCCXY_SL270428,london,kilburn park,51.53513992,-0.193943923,glass,environmental_microbiome,13979619.0,
haib17CEM5106_HCCGHCCXY_SL270429,london,maida vale,51.52982887,-0.185609035,glass,environmental_microbiome,8940201.0,
haib17CEM5106_HCCGHCCXY_SL270430,london,warwick avenue,51.52334544,-0.183649798,glass,environmental_microbiome,9779448.0,
haib17CEM5106_HCCGHCCXY_SL270431,london,paddington,51.51537887,-0.175365294,glass,environmental_microbiome,5698934.0,
haib17CEM5106_HCCGHCCXY_SL270432,london,edgeware road,51.51999407,-0.167644928,glass,environmental_microbiome,4211082.0,
haib17CEM5106_HCCGHCCXY_SL270433,london,marylebone,51.52229675,-0.163080891,glass,environmental_microbiome,4013109.0,
haib17CEM5106_HCCGHCCXY_SL270434,london,baker street,51.52313116,-0.156881847,glass,environmental_microbiome,6858111.0,
haib17CEM5106_HCCGHCCXY_SL270435,london,regent's park,51.52357375,-0.146845189,glass,environmental_microbiome,4456638.0,
haib17CEM5106_HCCGHCCXY_SL270419,london,kenton,51.58184637,-0.317125399,glass,environmental_microbiome,4154450.0,
haib17CEM5106_HCCGHCCXY_SL270436,london,picadilly circus,51.51010128,-0.133994054,glass,environmental_microbiome,5362496.0,
haib17CEM5106_HCCGHCCXY_SL270437,london,charing cross,51.50866134,-0.124733426,glass,environmental_microbiome,6264230.0,
haib17CEM5106_HCCGHCCXY_SL270438,london,waterloo,51.50357644,-0.114051784,glass,environmental_microbiome,20529049.0,
haib17CEM5106_HCCGHCCXY_SL270439,london,lambeth north,51.49913109,-0.111745717,glass,environmental_microbiome,8670280.0,
haib17CEM5106_HCCGHCCXY_SL270440,london,elephant and castle,51.49584772,-0.100711857,glass,environmental_microbiome,6890897.0,
haib17CEM5106_HCCGHCCXY_SL270420,london,south kenton,51.57023141,-0.308554798,glass,environmental_microbiome,6447238.0,
haib17CEM5106_HCCGHCCXY_SL270421,london,north wembley,51.56254897,-0.304116057,glass,environmental_microbiome,1036770.0,
haib17CEM5106_HCCGHCCXY_SL270422,london,wembley central,51.55239319,-0.296820887,glass,environmental_microbiome,19345871.0,
haib17CEM5106_HCCGHCCXY_SL270423,london,stonebridge park,51.54398955,-0.275371113,glass,environmental_microbiome,4730427.0,
haib17CEM5106_HCCGHCCXY_SL270424,london,harlesden,51.53625519,-0.257476566,glass,environmental_microbiome,20337858.0,
haib17CEM5106_HCCGHCCXY_SL270425,london,willesden junction,51.53225984,-0.244259053,glass,environmental_microbiome,7422394.0,
haib17CEM5106_HCCGHCCXY_SL270426,london,kensal green,51.5305265,-0.224683208,glass,environmental_microbiome,4902251.0,
haib17CEM5106_HCY5HCCXY_SL271148,london,greenford,51.54236162,-0.34641202,glass,environmental_microbiome,5691818.0,
haib17CEM5106_HCY5HCCXY_SL271156,london,queensway,51.51045317,-0.187402539,glass,environmental_microbiome,3589428.0,
haib17CEM5106_HCY5HCCXY_SL271157,london,marble arch,51.51361041,-0.158415035,glass,environmental_microbiome,2111465.0,
haib17CEM5106_HCY5HCCXY_SL271158,london,bond street,51.51387906,-0.149315708,glass,environmental_microbiome,4354337.0,
haib17CEM5106_HCY5HCCXY_SL271159,london,tottenham court road,51.51627608,-0.13085605,glass,environmental_microbiome,4373525.0,
haib17CEM5106_HCY5HCCXY_SL271160,london,holborn,51.5175063,-0.119995446,glass,environmental_microbiome,4770687.0,
haib17CEM5106_HCY5HCCXY_SL271161,london,chancery lane,51.51819437,-0.111660401,glass,environmental_microbiome,5670845.0,
haib17CEM5106_HCY5HCCXY_SL271162,london,st. paul's,51.51487573,-0.097559304,glass,environmental_microbiome,3490109.0,
haib17CEM5106_HCY5HCCXY_SL271163,london,bank,51.5133735,-0.088906725,glass,environmental_microbiome,3387006.0,
haib17CEM5106_HCY5HCCXY_SL271149,london,perivale,51.53665913,-0.323817282,glass,environmental_microbiome,5906364.0,
haib17CEM5106_HCY5HCCXY_SL271164,london,bethnal green,51.52726755,-0.055423847,glass,environmental_microbiome,3093374.0,
haib17CEM5106_HCY5HCCXY_SL271165,london,mile end,51.52516227,-0.033400538,glass,environmental_microbiome,1382264.0,
haib17CEM5106_HCY5HCCXY_SL271166,london,leyton,51.5565034,-0.00561874,glass,environmental_microbiome,4823010.0,
haib17CEM5106_HCY5HCCXY_SL271167,london,leytonstone,51.56825428,0.008223901,glass,environmental_microbiome,7282287.0,
haib17CEM5106_HCY5HCCXY_SL271168,london,snaresbrook,51.58089355,0.021492179,glass,environmental_microbiome,6103582.0,
haib17CEM5106_HCY5HCCXY_SL271169,london,south woodford,51.59179344,0.027321779,glass,environmental_microbiome,6303355.0,
haib17CEM5106_HCY5HCCXY_SL271170,london,woodford,51.60709356,0.034027185,glass,environmental_microbiome,6593538.0,
haib17CEM5106_HCY5HCCXY_SL271171,london,ealing broadway,51.5149791,-0.301471777,glass,environmental_microbiome,4384372.0,
haib17CEM5106_HCY5HCCXY_SL271150,london,hanger lane,51.53007288,-0.292973103,glass,environmental_microbiome,4254429.0,
haib17CEM5106_HCY5HCCXY_SL271172,london,west acton,51.51792853,-0.280959813,glass,environmental_microbiome,2974576.0,
haib17CEM5106_HCY5HCCXY_SL271173,london,wanstead,51.57558605,0.028739769,glass,environmental_microbiome,2261304.0,
haib17CEM5106_HCY5HCCXY_SL271174,london,redbridge,51.57636834,0.045413423,glass,environmental_microbiome,1446084.0,
